"cnpj","nome","endereco","complemento","bairro","cep","municipio","uf","pais","ddd","numero","cod_compe_s_dv","x12"
"966246","SICOOB PA - FARTURA","PRAÇA MANOEL REMIGIO VIANA, 100","-","CENTRO","18870-000","FARTURA","SP","Brasil","14","33823033","-",NA
"966246","SICOOB PA - GUAREI","AVENIDA ADALBERTO ROCHA, 522","-","CENTRO","18250-029","GUAREI","SP","Brasil","-","-","-",NA
"966246","SICOOB PA - IBIUNA","AVENIDA MARIA LA FARINA MILANI, 126","-","CENTRO","18150-000","IBIUNA","SP","Brasil","15","32415619","-",NA
"966246","SICOOB PA - ITABERA","AV. PREF. CARLOS RODRIGUES DOS SANTOS, 298","-","CENTRO","18440-033","ITABERA","SP","Brasil","15","35622259","-",NA
"966246","SICOOB PA - ITAI","PRAÇA DA BANDEIRA, 1078","-","CENTRO","18730-029","ITAI","SP","Brasil","14","37611549","-",NA
"966246","SICOOB PA - ITAPETININGA","RUA: QUINTINO BOCAIUVA, 890","-","CENTRO","18200-014","ITAPETININGA","SP","Brasil","15","32722339","-",NA
"966246","SICOOB PA - ITAPEVA","AVENIDA CORONEL ACACIO PIEDADE, 688","-","CENTRO","18400-180","ITAPEVA","SP","Brasil","15","35213510","-",NA
"966246","SICOOB PA - ITAPORANGA","RUA DR FELIPE VITA, 1104","-","CENTRO","18480-021","ITAPORANGA","SP","Brasil","15","35653659","-",NA
"966246","SICOOB PA - ITARARÉ","RUA ITARARÉ, 397","-","CENTRO","18460-000","ITARARE","SP","Brasil","-","-","-",NA
"966246","SICOOB PA - PARANAPANEMA","RUA DAS FIGUEIRAS, 259","-","RESIDENCIAL HOLAMBRA","18728-090","PARANAPANEMA","SP","Brasil","14","37611955","-",NA
"966246","SICOOB PA - PIEDADE","RUA JOSÉ BAPTISTA, 152","-","PAULA E MENDES","18170-000","PIEDADE","SP","Brasil","15","33446288","-",NA
"966246","SICOOB PA - PILAR DO SUL","RUA TENENTE ALMEIDA, 368","-","CENTRO","18185-000","PILAR DO SUL","SP","Brasil","15","32780832","-",NA
"966246","SICOOB PA - PIRAJU","PRAÇA ATALIBA LEONEL, 121","-","CENTRO","18800-020","PIRAJU","SP","Brasil","14","33514755","-",NA
"966246","SICOOB PA - SARAPUÍ","RUA CORONEL ERNESTO PIEDADE, 364","-","CENTRO","18225-000","SARAPUI","SP","Brasil","-","-","-",NA
"966246","SICOOB PA - SÃO MIGUEL ARCANJO","RUA MONSENHOR HENRIQUE VOLTA, 318","-","CENTRO","18230-015","SAO MIGUEL ARCANJO","SP","Brasil","15","32793444","-",NA
"966246","SICOOB PA - SOROCABA","AVENIDA GENERAL CARNEIRO, 362","-","VILA LUCY","18043-000","SOROCABA","SP","Brasil","-","-","-",NA
"966246","SICOOB PA - TAGUAÍ","RUA PEDRO ALCANTARA RIBEIRO, 217","-","CENTRO","18890-000","TAGUAI","SP","Brasil","14","33861322","-",NA
"966246","SICOOB PA - TAQUARITUBA","RUA MARECHAL FLORIANO PEIXOTO, 742","-","CENTRO","18740-013","TAQUARITUBA","SP","Brasil","14","37624344","-",NA
"966246","SICOOB PA - TATUI","RUA SAO BENTO, 88","-","CENTRO","18270-820","TATUI","SP","Brasil","15","32591714","-",NA
"966246","SICOOB PA CAMPINAS","RUA CORONEL QUIRINO, 613","-","CAMBUÍ","13025-001","CAMPINAS","SP","Brasil","14","37619393","-",NA
"966246","SICOOB PA CASTRO","PRAÇA MANOEL RIBAS, 152","-","CENTRO","84165-510","CASTRO","PR","Brasil","-","-","-",NA
"966246","SICOOB PA CONCHAS","RUA BAHIA, 152","-","CENTRO","18570-019","CONCHAS","SP","Brasil","14","3761393","-",NA
"966246","SICOOB PA MOGI MIRIM","RUA DOUTOR ULHOA CINTRA, 559","-","CENTRO","13800-061","MOGI-MIRIM","SP","Brasil","-","-","-",NA
"966246","SICOOB PA PAULÍNIA","AVENIDA JOSÉ PAULINO, 1801","-","JARDIM DE ITAPOAN","13140-256","PAULINIA","SP","Brasil","-","-","-",NA
"966246","SICOOB PA PONTA GROSSA","RUA DOUTOR PAULA XAVIER, 940","SALA COMERCIAL","CENTRO","84010-270","PONTA GROSSA","PR","Brasil","18","37619393","-",NA
"966246","SICOOB PA SALTO DE PIRAPORA","AVENIDA PEDRO PIRES DE MELLO, 216","-","CAMPO LARGO","18162-742","SALTO DE PIRAPORA","SP","Brasil","-","-","-",NA
"54037916","SICOOB   PA AMPARO","AVENIDA BERNARDINO DE CAMPOS, 813","-","CENTRO","13900-400","AMPARO","SP","Brasil","19","35087034","-",NA
"54037916","SICOOB   PA VARGINHA","PRAÇA GETULIO VARGAS, 215","LOJA 02","CENTRO","37002-035","VARGINHA","MG","Brasil","35","30420466","-",NA
"54037916","SICOOB -  PA PINDAMONHANGABA","AV. DOUTOR ANTONIO PINHEIRO JUNIOR, 13","-","CAMPO ALEGRE","12412-010","PINDAMONHANGABA","SP","Brasil","17","33459000","-",NA
"54037916","SICOOB - PA - FRANCA - AV. ADHEMAR PEREIRA DE BARROS","AVENIDA ADHEMAR PEREIRA DE BARROS, 1074","-","JARDIM PIRATININGA I","14401-424","FRANCA","SP","Brasil","16","37253137","-",NA
"54037916","SICOOB - PA - FRANCA - AV. DA INTEGRAÇÃO VEREADOR BERNARDINO","AVENIDA DA INTEGRAÇÃO VEREADOR BERNARDIN, 2051","-","ESTAÇÃO","14405-260","FRANCA","SP","Brasil","16","37069819","-",NA
"54037916","SICOOB - PA - GUARÁ","AVENIDA FRANCISCO DE PAULA LEAO, 626","-","CENTRO","14580-000","GUARA","SP","Brasil","16","38312231","-",NA
"54037916","SICOOB - PA - SANTA CRUZ DAS PALMEIRAS","RUA CORONEL PENTEADO, 441","CENTRO","CENTRO","13650-000","SANTA CRUZ DAS PALMEIRAS","SP","Brasil","19","36721707","-",NA
"54037916","SICOOB - PA ALTINÓPOLIS","RUA CORONEL HONORIO PALMA, 373","-","CENTRO","14350-000","ALTINOPOLIS","SP","Brasil","16","36650834","-",NA
"54037916","SICOOB - PA ARARAS","RUA VEREADOR CESÁRIO COIMBRA, 54","-","CENTRO","13600-030","ARARAS","SP","Brasil","-","-","-",NA
"54037916","SICOOB - PA BARIRI","AVENIDA CLAUDIONOR BARBIERI, 644","-","CENTRO","17250-000","BARIRI","SP","Brasil","14","36626931","-",NA
"54037916","SICOOB - PA BARRETOS - AV 43","AVENIDA 43, 260","-","CENTRO","14780-425","BARRETOS","SP","Brasil","17","33212211","-",NA
"54037916","SICOOB - PA BARRETOS - AVENIDA 43","AVENIDA 43, 260","-","CENTRO","14780-425","BARRETOS","SP","Brasil","17","33217670","-",NA
"54037916","SICOOB - PA BARUERI","ALAMEDA RIO NEGRO, 1245","LOJA: 01 E 02","ALPHAVILLE INDUSTRIA","06454-000","BARUERI","SP","Brasil","17","33459000","-",NA
"54037916","SICOOB - PA BATATAIS","RUA CORONEL JOAQUIM ROSA, 329","-","CENTRO","14300-000","BATATAIS","SP","Brasil","16","37610408","-",NA
"54037916","SICOOB - PA BOTUCATU - RUA GENERAL TELLES","RUA GENERAL TELLES, 1266","-","CENTRO","18602-120","BOTUCATU","SP","Brasil","14","38146160","-",NA
"54037916","SICOOB - PA BRODOWSKI","RUA CEL. JOSE ALEIXO SILVA PASSOS, 91","-","CENTRO","14340-000","BRODOWSKI","SP","Brasil","16","36641020","-",NA
"54037916","SICOOB - PA BURITIZAL","RUA JOAQUIM MARTINS, 645","-","CENTRO","14570-000","BURITIZAL","SP","Brasil","16","37511555","-",NA
"54037916","SICOOB - PA CAMPOS GERAIS","PRAÇA JOSINO DE BRITO, 79","-","CENTRO","37160-000","CAMPOS GERAIS","MG","Brasil","35","38531807","-",NA
"54037916","SICOOB - PA CAPETINGA","RUA CEL. ANTONIO JOAQUIM, 250","-","CENTRO","37993-000","CAPETINGA","MG","Brasil","35","35431586","-",NA
"54037916","SICOOB - PA CASA BRANCA","RUA CORONEL JOSÉ JÚLIO, 678","-","CENTRO","13700-000","CASA BRANCA","SP","Brasil","19","36716967","-",NA
"54037916","SICOOB - PA CÁSSIA","PRAÇA BARÃO DE CAMBUI, 1","-","CENTRO","37980-000","CASSIA","MG","Brasil","35","35411900","-",NA
"54037916","SICOOB - PA CONQUISTA","PRAÇA CORONEL TANCREDO FRANÇA, 47","-","CENTRO","38195-000","CONQUISTA","MG","Brasil","34","33531192","-",NA
"54037916","SICOOB - PA CRISTAIS PAULISTA","RUA MAESTRO JOÃO CAETANO DE MENEZES, 405","-","CENTRO","14460-000","CRISTAIS PAULISTA","SP","Brasil","16","31331553","-",NA
"54037916","SICOOB - PA DOIS CÓRREGOS","AVENIDA FERNANDO COSTA, 471","-","CENTRO","17300-000","DOIS CORREGOS","SP","Brasil","14","36522266","-",NA
"54037916","SICOOB - PA GN ARAÇATUBA","RUA LUIZ PEREIRA BARRETO, 99","-","CENTRO","16010-320","ARACATUBA","SP","Brasil","18","36367676","-",NA
"54037916","SICOOB - PA GN BAURU","RUA RUBENS PAGANI, 36","QUADRA 5 - SALA 1","JARDIM ESTORIL IV","17016-210","BAURU","SP","Brasil","14","31040100","-",NA
"54037916","SICOOB - PA GN BEBEDOURO 1","PRAÇA MONSENHOR ARISTIDES, 207","SALA 1 - PISO SUPERIOR","CENTRO","14700-119","BEBEDOURO","SP","Brasil","17","33459797","-",NA
"54037916","SICOOB - PA GN BEBEDOURO 2","PRAÇA MONSENHOR ARISTIDES, 207","SALA 2 - PISO SUPERIOR","CENTRO","14700-119","BEBEDOURO","SP","Brasil","17","33459797","-",NA
"54037916","SICOOB - PA GN FRANCA","AVENIDA DA INTEGRAçãO VEREADOR BERNARDIN, 2051","-","ESTAÇÃO","14405-260","FRANCA","SP","Brasil","-","-","-",NA
"54037916","SICOOB - PA GN RIBEIRÃO PRETO","AVENIDA PRESIDENTE VARGAS, 2065","SALA 1 - PISO SUPERIOR","JARDIM AMÉRICA","14020-260","RIBEIRAO PRETO","SP","Brasil","16","36029555","-",NA
"54037916","SICOOB - PA GN SÃO PAULO","AVENIDA BRASIL, 1402","SALA 1 - PISO SUPERIOR","JARDIM AMÉRICA","01430-001","SAO PAULO","SP","Brasil","11","30667300","-",NA
"54037916","SICOOB - PA GN UBERLÂNDIA","AVENIDA RONDON PACHECO, 1344","SALA 01","JARDIM ALTAMIRA","38411-011","UBERLANDIA","MG","Brasil","34","32309100","-",NA
"54037916","SICOOB - PA HOLAMBRA","RUA ROTA DOS IMIGRANTES, 860","CENTRO EMPRESARIAL VAN GOGH","CENTRO","13825-150","HOLAMBRA","SP","Brasil","-","-","-",NA
"54037916","SICOOB - PA IBIRACI","PRAÇA RAUL SOARES, 120","-","CENTRO","37990-970","IBIRACI","MG","Brasil","35","35449855","-",NA
"54037916","SICOOB - PA IGARAPAVA","AVENIDA CERQUEIRA CESAR, 502","-","JARDIM SANTA MARIA","14540-000","IGARAPAVA","SP","Brasil","16","31725662","-",NA
"54037916","SICOOB - PA ITATINGA","PRAÇA MAJOR BELLO, 167","-","CENTRO","18690-000","ITATINGA","SP","Brasil","14","38482099","-",NA
"54037916","SICOOB - PA ITAÚ DE MINAS","RUA JOÃO KIRCHNER, 390","494","CENTRO","37975-000","ITAU DE MINAS","MG","Brasil","35","35361759","-",NA
"54037916","SICOOB - PA ITIRAPUÃ","RUA CORONEL MESSIAS ROSA, 4812","-","CENTRO","14420-000","ITIRAPUA","SP","Brasil","16","31461124","-",NA
"54037916","SICOOB - PA JAGUARIUNA","RUA MARIA ÂNGELA, 390","LOJA 21 - BEST CENTER JAGUARIÚNA","JARDIM BERLIM","13919-134","JAGUARIUNA","SP","Brasil","-","-","-",NA
"54037916","SICOOB - PA JARDINÓPOLIS","RUA AMÉRICO SALES, 355","-","CENTRO","14680-000","JARDINOPOLIS","SP","Brasil","16","36636363","-",NA
"54037916","SICOOB - PA JAÚ","RUA ROLANDO D'AMICO, 12","-","VILA ASSIS","17210-115","JAU","SP","Brasil","14","31410661","-",NA
"54037916","SICOOB - PA JUNDIAÍ","RUA EDUARDO TOMANIK, 250","-","CHÁCARA URBANA","13201-835","JUNDIAI","SP","Brasil","-","-","-",NA
"54037916","SICOOB - PA MOCOCA","RUA QUINZE DE NOVEMBRO, 413","-","CENTRO","13730-020","MOCOCA","SP","Brasil","19","30940001","-",NA
"54037916","SICOOB - PA MORRO AGUDO","AVENIDA SÃO JOSÉ, 1100","-","CENTRO","14640-000","MORRO AGUDO","SP","Brasil","16","38514477","-",NA
"54037916","SICOOB - PA NUPORANGA","RUA ESPIRITO SANTO, 507","-","CENTRO","14670-000","NUPORANGA","SP","Brasil","16","38472000","-",NA
"54037916","SICOOB - PA PASSOS - PÇA. MONSENHOR MESSIAS BRAGANÇA","PRAÇA MONSENHOR MESSIAS BRAGANÇA, 220","-","CENTRO","37900-084","PASSOS","MG","Brasil","35","35291900","-",NA
"54037916","SICOOB - PA PASSOS - RUA SETE DE SETEMBRO","RUA SETE DE SETEMBRO, 234","3 A 5 PAVIMENTO","CENTRO","37900-012","PASSOS","MG","Brasil","35","35268968","-",NA
"54037916","SICOOB - PA PATROCÍNIO","AVENIDA JOÃO ALVES DO NASCIMENTO, 2264","SALA 15","NOSSA SENHORA DE FÁT","38740-026","PATROCINIO","MG","Brasil","17","33459000","-",NA
"54037916","SICOOB - PA PATROCÍNIO PAULISTA","RUA MAJOR GOULART, 1549","-","CENTRO","14415-000","PATROCINIO PAULISTA","SP","Brasil","16","31451012","-",NA
"54037916","SICOOB - PA PAULÍNIA","AV. JOSÉ PAULINO, 2279","LOJA 9 - BEST CENTER PAULÍNIA","MORUMBI","13140-723","PAULINIA","SP","Brasil","-","-","-",NA
"54037916","SICOOB - PA PEDREGULHO","RUA FACUNDO MUNHOZ, 340","-","CENTRO","14470-000","PEDREGULHO","SP","Brasil","16","31712131","-",NA
"54037916","SICOOB - PA POÇOS DE CALDAS","RUA PREFEITO CHAGAS, 138","-","CENTRO","37701-010","POCOS DE CALDAS","MG","Brasil","17","33459000","-",NA
"54037916","SICOOB - PA PORTO FERREIRA","RUA DONA BALBINA, 316","-","CENTRO","13660-039","PORTO FERREIRA","SP","Brasil","17","33459000","-",NA
"54037916","SICOOB - PA RIBEIRÃO PRETO - AV. DR. FRANCISCO JUNQUEIRA","AVENIDA DOUTOR FRANCISCO JUNQUEIRA, 1889","PAVMT 01","JARDIM MACEDO","14091-000","RIBEIRAO PRETO","SP","Brasil","16","36008282","-",NA
"54037916","SICOOB - PA RIBEIRÃO PRETO - SHOPPING","AV. CORONEL FERNANDO FERREIRA LEITE, 1540","LOJA 275 - NÍVEL TERRA VERMELHA","JARDIM CALIFÓRNIA","14026-900","RIBEIRAO PRETO","SP","Brasil","16","36029550","-",NA
"54037916","SICOOB - PA RIO CLARO","AVENIDA 2, 322","-","CENTRO","13500-410","RIO CLARO","SP","Brasil","-","-","-",NA
"54037916","SICOOB - PA S J DOS CAMPOS","AVENIDA SÃO JOÃO, 2375","SALA 808","JARDIM DAS COLINAS","12242-000","SAO JOSE DOS CAMPOS","SP","Brasil","-","-","-",NA
"54037916","SICOOB - PA SALES OLIVEIRA","PRAÇA VITÓRIO COSTACURTA, 15","-","CENTRO","14660-000","SALES OLIVEIRA","SP","Brasil","16","38523274","-",NA
"54037916","SICOOB - PA SANTO ANDRÉ","AVENIDA PORTUGAL, 777","-","CENTRO","09040-011","SANTO ANDRE","SP","Brasil","17","33459000","-",NA
"54037916","SICOOB - PA SANTO ANTONIO DA ALEGRIA","RUA NOVE DE JULHO, 257","-","CENTRO","14390-000","SANTO ANTONIO DA ALEGRIA","SP","Brasil","16","36681877","-",NA
