"cnpj","nome_coop","naturezaJuridica","classe","situacao","regimeEspecial","logradouro","complemento","bairro","municipio","uf","cep","endereco_eletronico","email","telefone_ddd","telefone_numero","segmento_prudencial","ato_presi","nome_Liquidante","filiacao","filiacao_central"
315557,"CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASIL.","Sociedade Cooperativa","Confederação","Autorizada em Atividade",FALSE,"RUA BELA CINTRA  967","8  ANDAR   CJ  82","CONSOLACAO","SAO PAULO","SP","01415907","www.unicred.com.br","unicredbr@unicred.com.br",NA,NA,"S4",NA,NA,NA,NA
44469161,"COOPECREDI GUARIBA - COOPERATIVA DE CREDITO","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"AV ANTONIO ALBINO 1671","","VILA GARAVELLO","GUARIBA","SP","14840000","www.coopecredi.com.br","coopecredi@coopecredi.com.br",NA,NA,"S4",NA,NA,NA,NA
88325113,"COOPERATIVA    DE    ECONOMIA    E    CRÉDITO   MÚTUO  MINUANO","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"RUA GONCALVES DIAS  88","SALA 1005","CENTRO","CANOAS","RS","92010050","www.cooperativaminuano.com.br","marlise@cooperativaminuano.com.br",NA,NA,"S5",NA,NA,NA,NA
1664968,"COOPERATIVA  DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS UNIRONDÔNIA LTDA","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"AVENIDA CALAMA 2468","","SAO JOAO BOSCO","PORTO VELHO","RO","76803769","www.sicoob.com.br/web/sicoobunirondonia/sicoob-uniro","unicredpvh@unicredportovelho.com.br",NA,NA,"S5",NA,NA,NA,NA
1864151,"COOPERATIVA  ECONOMIA CRÉDITO MÚTUO  SERVS E EMPREGADOS PÚBLICOS MUNIC DE BELO HORIZONTE BETIM BRUMADINHO CONTAGEM IBIRITÉ NOVA LIMA RIBEIRÃO DAS NEVES SABARÁ SANTA LUZIA E VESPASIANO SICOOB CREDISERV","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"RUA DA BAHIA  905   11 ANDAR","","CENTRO","BELO HORIZONTE","MG","30160011","","crediservbh@crediservbh.com.br",NA,NA,"S5",NA,NA,NA,NA
32428294,"COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"RUA CONSTANTE SODRÉ, N- 305","","SANTA LUCIA","VITORIA","ES","29056310","www.sicoobes.com.br","sicoobes@sicoobes.com.br",NA,NA,"S4",NA,NA,NA,NA
5463212,"COOPERATIVA CENTRAL DE CRÉDITO - AILOS","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"RUA GENERAL OSÓRIO, 1180","","VELHA","BLUMENAU","SC","89041002","http://www.ailos.coop.br/","cecred@cecred.coop.br",NA,NA,"S4",NA,NA,NA,NA
1401771,"COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"RUA ERNESTO SANDERSON, N- 101","","INDUSTRIAL","FRANCISCO BELTRAO","PR","85601657","www.cresol.com.br","baser@cresol.com.br",NA,NA,"S4",NA,NA,NA,NA
10013534,"COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL NORDESTE","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"AVENIDA SANTOS DUMONT","SALA 608, EDIFÍCIO EMPRESARIAL REFRAN","CENTRO","LAURO DE FREITAS","BA","42705400","www.cresol.com.br","diretoria@ascoobcentral.com.br",NA,NA,"S4",NA,NA,NA,NA
34148882,"COOPERATIVA CENTRAL DE CRÉDITO DA BAHIA LTDA - SICOOB CENTRAL BA","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"RUA ALCEU AMOROSO LIMA  N  470","ED  EMPRESARIAL NIEMEYER  10  ANDAR","CAMINHO DAS ARVORES","SALVADOR","BA","41820770","www.sicoob-ba.com.br","sicoob-ba@sicoob-ba.com.br",NA,NA,"S4",NA,NA,NA,NA
33416108,"COOPERATIVA CENTRAL DE CRÉDITO DE GOIÁS, DISTRITO FEDERAL E TOCANTINS LTDA. - SICOOB NOVA CENTRAL","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"RUA 15 1250","","SETOR MARISTA","GOIANIA","GO","74150020","https://www.sicoob.com.br/web/sicoobnovacentral","central@sicoobgoias.com.br",NA,NA,"S4",NA,NA,NA,NA
25683434,"COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"AVENIDA DEL REY  111","CONDOMINIO COMERCIAL CAICARA  TORRE B  7  ANDAR","CAPARAO","BELO HORIZONTE","MG","30775240","http://www.sicoobcrediminas.com.br/","seger@crediminas.com.br",NA,NA,"S3",NA,NA,NA,NA
80160260,"COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"RUA TENENTE SILVEIRA  94","ANDARES 2   3   4   5   6   7  E 8","CENTRO","FLORIANOPOLIS","SC","88010300","www.sicoobsc.com.br","sicoobsc@sicoobsc.com.br",NA,NA,"S3",NA,NA,NA,NA
63917579,"COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"AVENIDA PROFESSOR JOAO FIUSA  2604","","JARDIM CANADA","RIBEIRAO PRETO","SP","14024260","https://www.sicoob.com.br/web/sicoobcentralsp","presidencia@sicoobsp.coop.br",NA,NA,"S3",NA,NA,NA,NA
3502131,"COOPERATIVA CENTRAL DE CRÉDITO DO NORTE DO BRASIL - SICOOB NORTE","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"AV NACOES UNIDAS 555","","N S  DAS GRACAS","PORTO VELHO","RO","76804175","www.sicoobnorte.com.br","centralnorte@centralnorte.com.br",NA,NA,"S4",NA,NA,NA,NA
7202627,"COOPERATIVA CENTRAL DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL CENTRAL BRASIL","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"RUA ACHILES TOMAZELLI  1310E","PREDIO","SANTA MARIA","CHAPECO","SC","89812143","www.cresolcentral.com.br","jonas@cresolcentral.com.br",NA,NA,"S4",NA,NA,NA,NA
21198087,"COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL SICOPER","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"RUA DOUTOR BOZANO","272","PETROPOLIS","PASSO FUNDO","RS","99051370","www.cresolsicoper.com.br","",NA,NA,"S4",NA,NA,NA,NA
543968,"COOPERATIVA CENTRAL DE CRÉDITO UNICRED CONEXÃO LTDA - UNICRED CENTRAL CONEXÃO","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"RUA CRISTOVAO NUNES PIRES 50 TORRE NORDEN","LJ 05  SALAS 402 403 508 509 510 E 511","CENTRO","FLORIANOPOLIS","SC","88010120","https://www.unicred.com.br/centralscpr/","administracao@unicredcentralsc.com.br",NA,NA,"S4",NA,NA,NA,NA
1634601,"COOPERATIVA CENTRAL DE CRÉDITO UNICRED GERAÇÃO LTDA. - UNICRED CENTRAL GERAÇÃO","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"AVENIDA PRAIA DE BELAS  1212","TORRE NORTE  8  ANDAR","PRAIA DE BELAS","PORTO ALEGRE","RS","90110000","www.unicred-rs.com.br","angela@unicred-rs.com.br",NA,NA,"S4",NA,NA,NA,NA
33737818,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DE MATO GROSSO DO SUL, GOIÁS, DISTRITO FEDERAL E TOCANTINS - CENTRAL SICREDI BRASIL CENTRAL","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"AV  T 12  S N","QD 123 LT 17 18 SALA 2801 ED CONNECT PARK BUSINESS","BUENO","GOIANIA","GO","74223080","","centralms_bacen@sicredi.com.br",NA,NA,"S4",NA,NA,NA,NA
33667205,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO NORTE DO BRASIL - CENTRAL SICREDI CENTRO NORTE","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"AV  JOSE RODRIGUES DO PRADO  19","1  ANDAR","SANTA ROSA","CUIABA","MT","78040000","www.sicredi.com.br","nauder_silva@sicredi.com.br",NA,NA,"S4",NA,NA,NA,NA
70119680,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORDESTE - CENTRAL SICREDI NORDESTE","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"AV. PRESIDENTE EPITÁCIO PESSOA","19- ANDAR - EDIFÍCIO ATLANTIS OFFICES DESIGN","TAMBAUZINHO","JOAO PESSOA","PB","0058042006","www.sicredinne.com.br","unicred@unicrednne.com.br",NA,NA,"S4",NA,NA,NA,NA
87437687,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"R. MANOELITO DE ORNELLAS, 55","18- E 19- ANDAR","PRAIA DE BELAS","PORTO ALEGRE","RS","90110230","","centralsul_juridico@sicredi.com.br",NA,NA,"S3",NA,NA,NA,NA
80230774,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"R ALCIDES MUNHOZ  165","1  ANDAR","MERCES","CURITIBA","PR","80810040","","centralpr_juridico@sicredi.com.br",NA,NA,"S3",NA,NA,NA,NA
86774775,"COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICREDS DO ESTADO DO RIO DE JANEIRO E DO MATO GROSSO LTDA   UNICRED CENTRAL RJ/MT","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"RUA DO OUVIDOR 121","SALA 2101","CENTRO","RIO DE JANEIRO","RJ","20040031","www.unicred.com.br/centralrjmt","superincentral@unicred-rj.com.br",NA,NA,"S4",NA,NA,NA,NA
14568725,"COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO SICOOB UNIMAIS RIO LTDA.","Sociedade Cooperativa","Central","Autorizada em Atividade",FALSE,"RUA RODRIGO SILVA  N  26","6  ANDAR   SALA 601","CENTRO","RIO DE JANEIRO","RJ","20011040","www.sicoobrio.com.br","",NA,NA,"S4",NA,NA,NA,NA
51010858,"COOPERATIVA DE CAPITAL E EMPRÉSTIMO COOPERMULTICRED - COOPERMC","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"AV  MONTEIRO LOBATO  3411   ANTIGO 3285","HITACHI PG   SETOR  COOPERATIVA","SAO ROQUE","GUARULHOS","SP","07190904","www.coopermc.com.br","cooperativa.marcos-silva@br.abb.com",NA,NA,"S5",NA,NA,NA,NA
54603022,"COOPERATIVA DE CREDITO CECRES - SICOOB CECRES","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"AV IPIRANGA  324","BL C EDF  INVESTIMENTO 1  3  E 15  ANDAR","REPUBLICA","SAO PAULO","SP","01046010","https://www.sicoobcecres.com.br/","contab@cecres.com.br",NA,NA,"S5",NA,NA,NA,NA
4120633,"COOPERATIVA DE CREDITO CLASSICA DO ESTADO DO RIO DE JANEIRO - SICOOB EMPRESAS RJ","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"AV  DAS AMERICAS  3500  BLOCO 2  SALA 204","COND  LE MONDE","BARRA DA TIJUCA","RIO DE JANEIRO","RJ","22640102","www.sicoobempresas.com.br","infocrerj@infocrerj.com.br",NA,NA,"S5",NA,NA,NA,NA
49389307,"COOPERATIVA DE CREDITO COOPLIVRE","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"RUA BENTO DIAS  608","","CENTRO","CAPIVARI","SP","13360000","www.cooplivre.com.br","rural@credicap.com.br",NA,NA,"S5",NA,NA,NA,NA
429890,"COOPERATIVA DE CREDITO CREDIAGRO LTDA. - SICOOB CREDIAGRO","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"RUA TIRADENTES","440","CENTRO","CAMPOS ALTOS","MG","38970000","www.sicoobcrediagro.com.br","campal310300@sicoobcrediminas.com.br",NA,NA,"S5",NA,NA,NA,NA
966246,"COOPERATIVA DE CREDITO CREDICERIPA - SICOOB CREDICERIPA","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"RUA SALVADOR DE FREITAS N 1 243","","CENTRO","ITAI","SP","18730000","www.crediceripa.com.br","roseli@crediceripa.com.br",NA,NA,"S4",NA,NA,NA,NA
54037916,"COOPERATIVA DE CREDITO CREDICITRUS","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"RUA PRUDENTE DE MORAES  534","","CENTRO","BEBEDOURO","SP","14700120","www.credicitrus.com.br","administracao@credicitrus.com.br",NA,NA,"S3",NA,NA,NA,NA
66788142,"COOPERATIVA DE CREDITO CREDIMOTA   SICOOB CREDIMOTA","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"RUA HENRIQUE VASQUES  262","","CENTRO","CANDIDO MOTA","SP","19880000","www.sicoobcredimota.com.br","administrativo@credimota.com.br",NA,NA,"S5",NA,NA,NA,NA
3358914,"COOPERATIVA DE CREDITO CREDIROCHAS - SICOOB CREDIROCHAS","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"RUA VINTE E CINCO DE MARÇO, N- 29","","CENTRO","CACHOEIRO DE ITAPEMIRIM","ES","29300100","www.sicoobes.com.br","credirochas@sicoobes.com.br",NA,NA,"S5",NA,NA,NA,NA
22656789,"COOPERATIVA DE CREDITO CREDISUDESTE LTDA. - SICOOB CREDISUDESTE","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"R PASCHOAL BERNARDINO  101","","CENTRO","MURIAE","MG","36880049","","esfeliz311800@sicoobcrediminas.com.br",NA,NA,"S5",NA,NA,NA,NA
5463934,"COOPERATIVA DE CREDITO CREDLIDER - SICOOB CREDLIDER","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"RUA SAO PAULO  3069","TERREO","CENTRO","VOTUPORANGA","SP","15500010","","credlider@credlider.coop.br",NA,NA,"S5",NA,NA,NA,NA
1009908,"COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PARA DE MINAS LTDA - SICOOB ASCICRED","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"RUA BENEDITO VALADARES 51","","CENTRO","PARA DE MINAS","MG","35660630","www.sicoobascicred.com.br","ascicred@ascicred.com.br",NA,NA,"S5",NA,NA,NA,NA
4181542,"COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PITANGUI E REGIAO LTDA. - SICOOB CREDPIT","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"AV  LIMA GUIMARAES  39","","CENTRO","PITANGUI","MG","35650000","","credpit@credpit.com.br",NA,NA,"S5",NA,NA,NA,NA
73422792,"COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE RUBIATABA E REGIAO LTDA","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"AV. AROEIRA, 880","","SETOR AEROPORTO","RUBIATABA","GO","76350000","","rubiataba@sicoobrubiataba.com.br",NA,NA,"S5",NA,NA,NA,NA
2173447,"COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO CENTRO NORDESTE MINEIRO LTDA - SICOOB CREDICENM","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"PRACA JK 333","","CENTRO","GUANHAES","MG","39740000","www.sicoobcredicenm.coop.br","credicenm@credicenm.com.br",NA,NA,"S5",NA,NA,NA,NA
19869338,"COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO VALE DO AÇO LTDA - SICOOB VALE DO AÇO","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"AV  CASTELO BRANCO  582","A","HORTO","IPATINGA","MG","35160294","","sicoobvaledoaco@sicoobvaledoaco.com.br",NA,NA,"S5",NA,NA,NA,NA
42887133,"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DA REGIÃO SUDESTE DE MINAS GERAIS LTDA. - SICOOB CREDISUCESSO","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"PRACA BENJAMIM GUIMARAES","109","CENTRO","BOM SUCESSO","MG","37220000","www.sicoob.com.br/web/sicoobcredisucesso","bsucesso310000@sicoobcrediminas.com.br",NA,NA,"S5",NA,NA,NA,NA
81014060,"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ITAIPU SICOOB CREDITAIPU","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"RUA JOAO PESSOA  1 490","CENTRO","CENTRO","PINHALZINHO","SC","89870000","www.creditaipu.coop.br","carlos@creditaipu.com.br",NA,NA,"S5",NA,NA,NA,NA
64480833,"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DE MARTINHO CAMPOS LTDA - SICOOB CREDIMAC","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"PRACA GOVERNADOR VALADARES, 142","","CENTRO","MARTINHO CAMPOS","MG","35606000","","mcampos314100@sicoobcrediminas.com.br",NA,NA,"S5",NA,NA,NA,NA
1604998,"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO SUL DE MINAS LTDA - SICOOB CREDIVASS","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"RUA DR  FERNANDO LEMOS  45","","CENTRO","SAO GONCALO DO SAPUCAI","MG","37490000","www.sicoobcredivass.com.br","sgsapucai316900@sicoobcrediminas.com.br",NA,NA,"S5",NA,NA,NA,NA
25404542,"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO GORUTUBA LTDA - SICOOB CREDIVAG","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"AV  MANOEL ATHAIDE","713   1 ANDAR","CENTRO","JANAUBA","MG","39440000","www.credivag.com.br","janauba313400@sicoobcrediminas.com.br",NA,NA,"S5",NA,NA,NA,NA
968602,"COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO SÃO PATRICIO LTDA.","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"AV  BRASIL N  330","","CENTRO","GOIANESIA","GO","76380070","https://www.sicoob.com.br/web/sicoobcoopercred/para-voce","coopercred@sicoobgoias.com.br",NA,NA,"S5",NA,NA,NA,NA
25387671,"COOPERATIVA DE CREDITO DO ALTO PARANAIBA E REGIÃO LTDA. - SICOOB CREDIPATOS","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"RUA MAJOR GOTE","1699","CENTRO","PATOS DE MINAS","MG","38700001","","patominas315400@sicoobcrediminas.com.br",NA,NA,"S5",NA,NA,NA,NA
8044854,"COOPERATIVA DE CREDITO DO CENTRO DO ESTADO DE RONDONIA - SICOOB CENTRO","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"RUA MANOEL FRANCO, 1050","","NOVA BRASILIA","JI-PARANA","RO","76908442","www.sicoobcentro.com.br","graeffegraeff@uol.com.br",NA,NA,"S5",NA,NA,NA,NA
14913919,"COOPERATIVA DE CREDITO DO MERCADO IMOBILIÁRIO - SICOOB IMOB.VC","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"RUA SERGIPE  1000","","SAVASSI","BELO HORIZONTE","MG","30130174","www.secovicredmg.com.br","",NA,NA,"S5",NA,NA,NA,NA
3033469,"COOPERATIVA DE CREDITO DO PLANALTO SUL - SICOOB CREDISSERRANA","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"AV  LUIZ DE CAMOES 243","","CORAL","LAGES","SC","88523000","","credisserrana@iscc.com.br",NA,NA,"S5",NA,NA,NA,NA
53776852,"COOPERATIVA DE CREDITO DOS FORNECEDORES DE CANA E DEMAIS PRODUTORES RURAIS DO CENTRO DO ESTADO DE SAO PAULO - CREDICENTRO","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"AVENIDA CIENTISTA FREDERICO DE MARCO, 21","","VILA XAVIER","ARARAQUARA","SP","14810185","www.credicentrosp.com.br","credi-centro@uol.com.br",NA,NA,"S5",NA,NA,NA,NA
27302181,"COOPERATIVA DE CREDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"AV  MARECHAL CAMPOS  1355","","SANTA CECILIA","VITORIA","ES","29043260","www.credufes.coop.br","credufes@credufes.coop.br",NA,NA,"S5",NA,NA,NA,NA
4281182,"COOPERATIVA DE CREDITO E ECONOMIA COM INTERACAO SOLIDARIA DE CHAPECO - CRESOL CHAPECO","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"AV  PORTO ALEGRE  223","E   SALAS 101  201  303 E 403","CENTRO","CHAPECO","SC","89802132","www.cresolcentral.com.br","chapeco@cresolcentral.com.br",NA,NA,"S5",NA,NA,NA,NA
5410056,"COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDARIA - CRESOL LITORAL","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"AVENIDA DUQUE DE CAXIAS 378","","CENTRO","JAGUARUNA","SC","88715000","www.cresolcentral.com.br","jaguaruna@cresolcentral.com.br",NA,NA,"S5",NA,NA,NA,NA
9488496,"COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDARIA - CRESOL SÃO JOÃO DO SUL","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"RUA ANSELMO BORBA  N  406","SALA 02","CENTRO","SAO JOAO DO SUL","SC","88970000","","saojoaodosul@cresolcentral.com.br",NA,NA,"S5",NA,NA,NA,NA
9463721,"COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL JACINTO MACHADO","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"RUA POOL JORGE ZACCA  N  135","","CENTRO","JACINTO MACHADO","SC","88950000","www.cresolcentral.com.br","jacintomachado@cresolcentral.com.br",NA,NA,"S5",NA,NA,NA,NA
7958405,"COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL SERRA MAR","Sociedade Cooperativa","Singular","Autorizada em Atividade",FALSE,"RUA JORGE LACERDA  294","SALA 01","CENTRO","RIO FORTUNA","SC","88760000","www.cresolcentral.com.br","riofortuna@cresolcentral.com.br",NA,NA,"S5",NA,NA,NA,NA
